filename,start_time_s,end_time_s,chroma_mean,chroma_std,mfccs_mean,mfccs_std,cluster
20170329_174042.wav,65.90984127,71.4245805,0.38241145,0.31832492,-33.464645,157.8454,3
20180128_231817.wav,459.9060317,464.8286621,0.3047592,0.29860896,-32.784283,158.38902,3
m.wav,1082.258866,1104.921542,0.3144804,0.33486632,-31.108168,145.42148,3
20180228_210301.wav,29.22231293,32.03192744,0.37521055,0.31911525,-25.043423,148.37971,3
SOA 7 POLSKA SLUT.wav,3.854512472,9.578231293,0.3939294,0.30559596,-30.966454,140.1102,3
20180209_165008.wav,606.3891156,608.1770522,0.31545603,0.3133418,-30.615343,160.13376,3
20170411_132630.wav,319.5414059,341.7861224,0.44332084,0.3138172,-32.05701,154.66283,3
20171229_225142oliver.wav,0,2.17106576,0.39767468,0.31780788,-26.096478,141.55257,3
20170414_170017 FAMILY CRAZY.wav,1027.750023,1359.679274,0.44840556,0.31639054,-31.937878,150.44763,3
20180301_210155.wav,32.32217687,35.0737415,0.365611,0.32435647,-26.976223,147.30869,3
20180202_154627folk.wav,1638.667029,1659.530159,0.42772514,0.31884307,-31.00006,158.95724,3
Voice 135.wav,7.082086168,7.163356009,0.36165556,0.29595298,-24.8413,158.64914,3
20180612_005546.wav,7.976054422,9.102222222,0.41300875,0.2958481,-32.257744,149.04951,3
20170412_111126.wav,205.9958277,223.2830839,0.34851205,0.3360597,-23.692108,150.0985,3
20180301_210438.wav,5.154829932,10.44897959,0.36525977,0.33062196,-25.597677,144.01854,3
20180301_210155.wav,52.74412698,57.94539683,0.34868464,0.29704583,-25.54884,151.63252,3
20180704_ 12  tone.wav,51.17678005,57.89895692,0.3343313,0.30827805,-26.157402,140.87526,3
20180704_ 12  tone.wav,17.75165533,19.70213152,0.34588093,0.30042344,-26.841377,144.11642,3
20180424_081832.wav,2.461315193,6.559637188,0.2819325,0.3043842,-28.166393,161.73405,3
20180228_225804.wav,50.77043084,52.21006803,0.41258475,0.2981469,-25.665274,148.03728,3
20180228_160905.wav,141.1076644,154.8887075,0.30551356,0.30949253,-33.34722,161.98285,3
20180424_212425.wav,2.449705215,4.260861678,0.4421029,0.3146969,-26.201216,161.68408,3
20170728_155201.wav,6.002358277,6.733786848,0.4694867,0.31304973,-24.549095,168.82689,3
